,district,day,month,hour,Crime Occurences,Class
15858,SOUTHERN,Wednesday,1,18,391,Extreme
15906,SOUTHERN,Wednesday,3,18,387,Extreme
14298,SOUTHERN,Friday,8,18,383,Extreme
14879,SOUTHERN,Saturday,8,23,380,Extreme
14206,SOUTHERN,Friday,4,22,380,Extreme
14274,SOUTHERN,Friday,7,18,379,Extreme
15930,SOUTHERN,Wednesday,4,18,379,Extreme
15474,SOUTHERN,Thursday,9,18,379,Extreme
14177,SOUTHERN,Friday,3,17,378,Extreme
14902,SOUTHERN,Saturday,9,22,375,Extreme
14203,SOUTHERN,Friday,4,19,372,Extreme
14130,SOUTHERN,Friday,1,18,370,Extreme
14855,SOUTHERN,Saturday,7,23,369,Extreme
15282,SOUTHERN,Thursday,1,18,367,Extreme
14783,SOUTHERN,Saturday,4,23,366,Extreme
14178,SOUTHERN,Friday,3,18,366,Extreme
14297,SOUTHERN,Friday,8,17,365,Extreme
14201,SOUTHERN,Friday,4,17,364,Extreme
14273,SOUTHERN,Friday,7,17,363,Extreme
14279,SOUTHERN,Friday,7,23,361,Extreme
15618,SOUTHERN,Tuesday,3,18,357,Extreme
15738,SOUTHERN,Tuesday,8,18,357,Extreme
14711,SOUTHERN,Saturday,1,23,357,Extreme
15450,SOUTHERN,Thursday,8,18,356,Extreme
16074,SOUTHERN,Wednesday,10,18,352,Extreme
16050,SOUTHERN,Wednesday,9,18,351,Extreme
14976,SOUTHERN,Sunday,1,0,351,Extreme
15904,SOUTHERN,Wednesday,3,16,351,Extreme
14345,SOUTHERN,Friday,10,17,350,Extreme
14134,SOUTHERN,Friday,1,22,349,Extreme
14634,SOUTHERN,Monday,10,18,348,Extreme
14153,SOUTHERN,Friday,2,17,346,Extreme
16049,SOUTHERN,Wednesday,9,17,345,Extreme
15024,SOUTHERN,Sunday,3,0,345,Extreme
14275,SOUTHERN,Friday,7,19,345,Extreme
14759,SOUTHERN,Saturday,3,23,345,Extreme
15762,SOUTHERN,Tuesday,9,18,344,Extreme
14303,SOUTHERN,Friday,8,23,343,Extreme
14807,SOUTHERN,Saturday,5,23,342,Extreme
14346,SOUTHERN,Friday,10,18,342,Extreme
14296,SOUTHERN,Friday,8,16,342,Extreme
14129,SOUTHERN,Friday,1,17,342,Extreme
15283,SOUTHERN,Thursday,1,19,341,Extreme
14688,SOUTHERN,Saturday,1,0,341,Extreme
15144,SOUTHERN,Sunday,8,0,341,Extreme
15737,SOUTHERN,Tuesday,8,17,341,Extreme
14753,SOUTHERN,Saturday,3,17,341,Extreme
15714,SOUTHERN,Tuesday,7,18,341,Extreme
14299,SOUTHERN,Friday,8,19,340,Extreme
15498,SOUTHERN,Thursday,10,18,339,Extreme
14226,SOUTHERN,Friday,5,18,339,Extreme
14322,SOUTHERN,Friday,9,18,338,Extreme
16026,SOUTHERN,Wednesday,8,18,336,Extreme
15473,SOUTHERN,Thursday,9,17,335,Extreme
14903,SOUTHERN,Saturday,9,23,335,Extreme
15903,SOUTHERN,Wednesday,3,15,335,Extreme
14321,SOUTHERN,Friday,9,17,334,Extreme
15096,SOUTHERN,Sunday,6,0,333,Extreme
14154,SOUTHERN,Friday,2,18,333,Extreme
14830,SOUTHERN,Saturday,6,22,332,Extreme
14250,SOUTHERN,Friday,6,18,332,Extreme
15642,SOUTHERN,Tuesday,4,18,332,Extreme
15426,SOUTHERN,Thursday,7,18,332,Extreme
16027,SOUTHERN,Wednesday,8,19,331,Extreme
14873,SOUTHERN,Saturday,8,17,331,Extreme
15616,SOUTHERN,Tuesday,3,16,330,Extreme
16023,SOUTHERN,Wednesday,8,15,330,Extreme
15451,SOUTHERN,Thursday,8,19,330,Extreme
14831,SOUTHERN,Saturday,6,23,329,Extreme
14758,SOUTHERN,Saturday,3,22,329,Extreme
15354,SOUTHERN,Thursday,4,18,329,Extreme
14465,SOUTHERN,Monday,3,17,329,Extreme
14784,SOUTHERN,Saturday,5,0,328,Extreme
14327,SOUTHERN,Friday,9,23,327,Extreme
15900,SOUTHERN,Wednesday,3,12,327,Extreme
14131,SOUTHERN,Friday,1,19,327,Extreme
15667,SOUTHERN,Tuesday,5,19,327,Extreme
14302,SOUTHERN,Friday,8,22,326,Extreme
16003,SOUTHERN,Wednesday,7,19,326,Extreme
15856,SOUTHERN,Wednesday,1,16,326,Extreme
14878,SOUTHERN,Saturday,8,22,325,Extreme
14324,SOUTHERN,Friday,9,20,324,Extreme
15666,SOUTHERN,Tuesday,5,18,324,Extreme
15072,SOUTHERN,Sunday,5,0,324,Extreme
14369,SOUTHERN,Friday,11,17,324,Extreme
15636,SOUTHERN,Tuesday,4,12,323,Extreme
15732,SOUTHERN,Tuesday,8,12,323,Extreme
14295,SOUTHERN,Friday,8,15,323,Extreme
14272,SOUTHERN,Friday,7,16,322,Extreme
14586,SOUTHERN,Monday,8,18,322,Extreme
15612,SOUTHERN,Tuesday,3,12,322,Extreme
15641,SOUTHERN,Tuesday,4,17,321,Extreme
15763,SOUTHERN,Tuesday,9,19,321,Extreme
15570,SOUTHERN,Tuesday,1,18,321,Extreme
14348,SOUTHERN,Friday,10,20,320,Extreme
14135,SOUTHERN,Friday,1,23,320,Extreme
15324,SOUTHERN,Thursday,3,12,320,Extreme
14927,SOUTHERN,Saturday,10,23,320,Extreme
14228,SOUTHERN,Friday,5,20,320,Extreme
14231,SOUTHERN,Friday,5,23,319,Extreme
15427,SOUTHERN,Thursday,7,19,319,Extreme
14253,SOUTHERN,Friday,6,21,319,Extreme
15499,SOUTHERN,Thursday,10,19,319,Extreme
14706,SOUTHERN,Saturday,1,18,318,Extreme
14658,SOUTHERN,Monday,11,18,318,Extreme
14249,SOUTHERN,Friday,6,17,318,Extreme
15374,SOUTHERN,Thursday,5,14,318,Extreme
15048,SOUTHERN,Sunday,4,0,318,Extreme
15953,SOUTHERN,Wednesday,5,17,318,Extreme
14207,SOUTHERN,Friday,4,23,318,Extreme
15617,SOUTHERN,Tuesday,3,17,317,Extreme
14806,SOUTHERN,Saturday,5,22,317,Extreme
14124,SOUTHERN,Friday,1,12,317,Extreme
15715,SOUTHERN,Tuesday,7,19,316,Extreme
15852,SOUTHERN,Wednesday,1,12,316,Extreme
14316,SOUTHERN,Friday,9,12,316,Extreme
15444,SOUTHERN,Thursday,8,12,316,Extreme
14735,SOUTHERN,Saturday,2,23,316,Extreme
15931,SOUTHERN,Wednesday,4,19,315,Extreme
14230,SOUTHERN,Friday,5,22,315,Extreme
14202,SOUTHERN,Friday,4,18,315,Extreme
16072,SOUTHERN,Wednesday,10,16,315,Extreme
14395,SOUTHERN,Friday,12,19,315,Extreme
15882,SOUTHERN,Wednesday,2,18,315,Extreme
15976,SOUTHERN,Wednesday,6,16,315,Extreme
14514,SOUTHERN,Monday,5,18,314,Extreme
15276,SOUTHERN,Thursday,1,12,313,Extreme
14347,SOUTHERN,Friday,10,19,313,Extreme
14196,SOUTHERN,Friday,4,12,313,Extreme
15331,SOUTHERN,Thursday,3,19,313,Extreme
15665,SOUTHERN,Tuesday,5,17,313,Extreme
14225,SOUTHERN,Friday,5,17,312,Extreme
14710,SOUTHERN,Saturday,1,22,312,Extreme
15785,SOUTHERN,Tuesday,10,17,312,Extreme
14132,SOUTHERN,Friday,1,20,312,Extreme
15475,SOUTHERN,Thursday,9,19,311,Extreme
14183,SOUTHERN,Friday,3,23,311,Extreme
15690,SOUTHERN,Tuesday,6,18,311,Extreme
14351,SOUTHERN,Friday,10,23,311,Extreme
14393,SOUTHERN,Friday,12,17,311,Extreme
16002,SOUTHERN,Wednesday,7,18,311,Extreme
16024,SOUTHERN,Wednesday,8,16,311,Extreme
15950,SOUTHERN,Wednesday,5,14,311,Extreme
15761,SOUTHERN,Tuesday,9,17,311,Extreme
14268,SOUTHERN,Friday,7,12,310,Extreme
16097,SOUTHERN,Wednesday,11,17,310,Extreme
14278,SOUTHERN,Friday,7,22,310,Extreme
14951,SOUTHERN,Saturday,11,23,310,Extreme
14224,SOUTHERN,Friday,5,16,310,Extreme
14371,SOUTHERN,Friday,11,19,310,Extreme
15787,SOUTHERN,Tuesday,10,19,309,Extreme
14926,SOUTHERN,Saturday,10,22,309,Extreme
15929,SOUTHERN,Wednesday,4,17,309,Extreme
15784,SOUTHERN,Tuesday,10,16,309,Extreme
14326,SOUTHERN,Friday,9,22,309,Extreme
16044,SOUTHERN,Wednesday,9,12,308,Extreme
14801,SOUTHERN,Saturday,5,17,308,Extreme
15120,SOUTHERN,Sunday,7,0,308,Extreme
14604,SOUTHERN,Monday,9,12,308,Extreme
14418,SOUTHERN,Monday,1,18,308,Extreme
14220,SOUTHERN,Friday,5,12,308,Extreme
15496,SOUTHERN,Thursday,10,16,307,Extreme
14294,SOUTHERN,Friday,8,14,307,Extreme
14490,SOUTHERN,Monday,4,18,306,Extreme
15660,SOUTHERN,Tuesday,5,12,306,Extreme
16020,SOUTHERN,Wednesday,8,12,306,Extreme
14760,SOUTHERN,Saturday,4,0,306,Extreme
14633,SOUTHERN,Monday,10,17,306,Extreme
14179,SOUTHERN,Friday,3,19,306,Extreme
14255,SOUTHERN,Friday,6,23,305,Extreme
15449,SOUTHERN,Thursday,8,17,305,Extreme
16045,SOUTHERN,Wednesday,9,13,305,Extreme
14947,SOUTHERN,Saturday,11,19,305,Extreme
14782,SOUTHERN,Saturday,4,22,305,Extreme
15420,SOUTHERN,Thursday,7,12,304,Extreme
14417,SOUTHERN,Monday,1,17,304,Extreme
14975,SOUTHERN,Saturday,12,23,304,Extreme
16070,SOUTHERN,Wednesday,10,14,303,Extreme
14399,SOUTHERN,Friday,12,23,303,Extreme
15924,SOUTHERN,Wednesday,4,12,303,Extreme
14777,SOUTHERN,Saturday,4,17,303,Extreme
15547,SOUTHERN,Thursday,12,19,303,Extreme
16073,SOUTHERN,Wednesday,10,17,303,Extreme
14898,SOUTHERN,Saturday,9,18,302,Extreme
15640,SOUTHERN,Tuesday,4,16,302,Extreme
14180,SOUTHERN,Friday,3,20,302,Extreme
16021,SOUTHERN,Wednesday,8,13,302,Extreme
14394,SOUTHERN,Friday,12,18,302,Extreme
16096,SOUTHERN,Wednesday,11,16,302,Extreme
15849,SOUTHERN,Wednesday,1,9,301,Extreme
15996,SOUTHERN,Wednesday,7,12,301,Extreme
14227,SOUTHERN,Friday,5,19,301,Extreme
6695,MISSION,Saturday,3,23,301,Extreme
16001,SOUTHERN,Wednesday,7,17,301,Extreme
16048,SOUTHERN,Wednesday,9,16,301,Extreme
15113,SOUTHERN,Sunday,6,17,301,Extreme
15351,SOUTHERN,Thursday,4,15,301,Extreme
15978,SOUTHERN,Wednesday,6,18,300,Extreme
14904,SOUTHERN,Saturday,10,0,300,Extreme
15546,SOUTHERN,Thursday,12,18,300,Extreme
15954,SOUTHERN,Wednesday,5,18,300,Extreme
14826,SOUTHERN,Saturday,6,18,300,Extreme
15348,SOUTHERN,Thursday,4,12,300,Extreme
16098,SOUTHERN,Wednesday,11,18,300,Extreme
14808,SOUTHERN,Saturday,6,0,300,Extreme
14952,SOUTHERN,Saturday,12,0,299,Extreme
14254,SOUTHERN,Friday,6,22,299,Extreme
14562,SOUTHERN,Monday,7,18,299,Extreme
16122,SOUTHERN,Wednesday,12,18,299,Extreme
15329,SOUTHERN,Thursday,3,17,299,Extreme
14832,SOUTHERN,Saturday,7,0,298,Extreme
15330,SOUTHERN,Thursday,3,18,298,Extreme
14705,SOUTHERN,Saturday,1,17,298,Extreme
14159,SOUTHERN,Friday,2,23,298,Extreme
14635,SOUTHERN,Monday,10,19,298,Extreme
14946,SOUTHERN,Saturday,11,18,298,Extreme
14368,SOUTHERN,Friday,11,16,298,Extreme
14229,SOUTHERN,Friday,5,21,298,Extreme
15977,SOUTHERN,Wednesday,6,17,298,Extreme
14805,SOUTHERN,Saturday,5,21,298,Extreme
14323,SOUTHERN,Friday,9,19,298,Extreme
14628,SOUTHERN,Monday,10,12,297,Extreme
14609,SOUTHERN,Monday,9,17,297,Extreme
14350,SOUTHERN,Friday,10,22,297,Extreme
15786,SOUTHERN,Tuesday,10,18,297,Extreme
15306,SOUTHERN,Thursday,2,18,297,Extreme
14222,SOUTHERN,Friday,5,14,297,Extreme
16051,SOUTHERN,Wednesday,9,19,297,Extreme
15402,SOUTHERN,Thursday,6,18,297,Extreme
15569,SOUTHERN,Tuesday,1,17,296,Extreme
14467,SOUTHERN,Monday,3,19,296,Extreme
14896,SOUTHERN,Saturday,9,16,296,Extreme
14317,SOUTHERN,Friday,9,13,296,Extreme
14734,SOUTHERN,Saturday,2,22,296,Extreme
14182,SOUTHERN,Friday,3,22,296,Extreme
14537,SOUTHERN,Monday,6,17,295,Extreme
14172,SOUTHERN,Friday,3,12,295,Extreme
15353,SOUTHERN,Thursday,4,17,295,Extreme
15162,SOUTHERN,Sunday,8,18,295,Extreme
15375,SOUTHERN,Thursday,5,15,295,Extreme
15638,SOUTHERN,Tuesday,4,14,295,Extreme
15979,SOUTHERN,Wednesday,6,19,294,Extreme
15497,SOUTHERN,Thursday,10,17,294,Extreme
14484,SOUTHERN,Monday,4,12,294,Extreme
6767,MISSION,Saturday,6,23,294,Extreme
14175,SOUTHERN,Friday,3,15,294,Extreme
15880,SOUTHERN,Wednesday,2,16,294,Extreme
15881,SOUTHERN,Wednesday,2,17,294,Extreme
14974,SOUTHERN,Saturday,12,22,294,Extreme
15379,SOUTHERN,Thursday,5,19,294,Extreme
15401,SOUTHERN,Thursday,6,17,294,Extreme
15332,SOUTHERN,Thursday,3,20,294,Extreme
15425,SOUTHERN,Thursday,7,17,294,Extreme
15328,SOUTHERN,Thursday,3,16,294,Extreme
14127,SOUTHERN,Friday,1,15,294,Extreme
14126,SOUTHERN,Friday,1,14,293,Extreme
14849,SOUTHERN,Saturday,7,17,293,Extreme
14920,SOUTHERN,Saturday,10,16,293,Extreme
15492,SOUTHERN,Thursday,10,12,293,Extreme
14892,SOUTHERN,Saturday,9,12,293,Extreme
14681,SOUTHERN,Monday,12,17,293,Extreme
15185,SOUTHERN,Sunday,9,17,293,Extreme
15568,SOUTHERN,Tuesday,1,16,293,Extreme
15424,SOUTHERN,Thursday,7,16,293,Extreme
14292,SOUTHERN,Friday,8,12,292,Extreme
15352,SOUTHERN,Thursday,4,16,292,Extreme
16025,SOUTHERN,Wednesday,8,17,292,Extreme
15810,SOUTHERN,Tuesday,11,18,292,Extreme
14176,SOUTHERN,Friday,3,16,292,Extreme
14683,SOUTHERN,Monday,12,19,292,Extreme
14200,SOUTHERN,Friday,4,16,292,Extreme
16071,SOUTHERN,Wednesday,10,15,292,Extreme
14512,SOUTHERN,Monday,5,16,292,Extreme
15594,SOUTHERN,Tuesday,2,18,291,Extreme
14325,SOUTHERN,Friday,9,21,291,Extreme
14128,SOUTHERN,Friday,1,16,291,Extreme
14803,SOUTHERN,Saturday,5,19,291,Extreme
15595,SOUTHERN,Tuesday,2,19,291,Extreme
14736,SOUTHERN,Saturday,3,0,291,Extreme
14460,SOUTHERN,Monday,3,12,291,Extreme
15448,SOUTHERN,Thursday,8,16,291,Extreme
14301,SOUTHERN,Friday,8,21,290,Extreme
15376,SOUTHERN,Thursday,5,16,290,Extreme
15811,SOUTHERN,Tuesday,11,19,290,Extreme
15327,SOUTHERN,Thursday,3,15,290,Extreme
15571,SOUTHERN,Tuesday,1,19,290,Extreme
14508,SOUTHERN,Monday,5,12,290,Extreme
14874,SOUTHERN,Saturday,8,18,290,Extreme
15712,SOUTHERN,Tuesday,7,16,290,Extreme
15156,SOUTHERN,Sunday,8,12,290,Extreme
14436,SOUTHERN,Monday,2,12,290,Extreme
16068,SOUTHERN,Wednesday,10,12,289,Extreme
15689,SOUTHERN,Tuesday,6,17,289,Extreme
15192,SOUTHERN,Sunday,10,0,289,Extreme
15493,SOUTHERN,Thursday,10,13,289,Extreme
14585,SOUTHERN,Monday,8,17,289,Extreme
15545,SOUTHERN,Thursday,12,17,289,Extreme
15446,SOUTHERN,Thursday,8,14,289,Extreme
15925,SOUTHERN,Wednesday,4,13,288,Extreme
14396,SOUTHERN,Friday,12,20,288,Extreme
15403,SOUTHERN,Thursday,6,19,288,Extreme
14657,SOUTHERN,Monday,11,17,288,Extreme
15452,SOUTHERN,Thursday,8,20,288,Extreme
14372,SOUTHERN,Friday,11,20,288,Extreme
14921,SOUTHERN,Saturday,10,17,288,Extreme
15542,SOUTHERN,Thursday,12,14,288,Extreme
15780,SOUTHERN,Tuesday,10,12,288,Extreme
15396,SOUTHERN,Thursday,6,12,288,Extreme
14708,SOUTHERN,Saturday,1,20,287,Extreme
14349,SOUTHERN,Friday,10,21,287,Extreme
15422,SOUTHERN,Thursday,7,14,287,Extreme
15397,SOUTHERN,Thursday,6,13,287,Extreme
14632,SOUTHERN,Monday,10,16,287,Extreme
15500,SOUTHERN,Thursday,10,20,287,Extreme
15902,SOUTHERN,Wednesday,3,14,287,Extreme
14370,SOUTHERN,Friday,11,18,287,Extreme
14271,SOUTHERN,Friday,7,15,287,Extreme
15470,SOUTHERN,Thursday,9,14,287,Extreme
14344,SOUTHERN,Friday,10,16,286,Extreme
15373,SOUTHERN,Thursday,5,13,286,Extreme
14993,SOUTHERN,Sunday,1,17,286,Extreme
14320,SOUTHERN,Friday,9,16,286,Extreme
15471,SOUTHERN,Thursday,9,15,286,Extreme
15278,SOUTHERN,Thursday,1,14,286,Extreme
14682,SOUTHERN,Monday,12,18,286,Extreme
14251,SOUTHERN,Friday,6,19,286,Extreme
15567,SOUTHERN,Tuesday,1,15,286,Extreme
15137,SOUTHERN,Sunday,7,17,285,Extreme
14583,SOUTHERN,Monday,8,15,285,Extreme
15000,SOUTHERN,Sunday,2,0,285,Extreme
16119,SOUTHERN,Wednesday,12,15,285,Extreme
14856,SOUTHERN,Saturday,8,0,285,Extreme
14704,SOUTHERN,Saturday,1,16,285,Extreme
14922,SOUTHERN,Saturday,10,18,285,Extreme
16075,SOUTHERN,Wednesday,10,19,284,Extreme
15281,SOUTHERN,Thursday,1,17,284,Extreme
14155,SOUTHERN,Friday,2,19,284,Extreme
15372,SOUTHERN,Thursday,5,12,284,Extreme
15713,SOUTHERN,Tuesday,7,17,284,Extreme
15522,SOUTHERN,Thursday,11,18,284,Extreme
14319,SOUTHERN,Friday,9,15,284,Extreme
15975,SOUTHERN,Wednesday,6,15,284,Extreme
15614,SOUTHERN,Tuesday,3,14,284,Extreme
14925,SOUTHERN,Saturday,10,21,284,Extreme
14443,SOUTHERN,Monday,2,19,283,Extreme
15277,SOUTHERN,Thursday,1,13,283,Extreme
15883,SOUTHERN,Wednesday,2,19,283,Extreme
14223,SOUTHERN,Friday,5,15,283,Extreme
15399,SOUTHERN,Thursday,6,15,283,Extreme
14854,SOUTHERN,Saturday,7,22,283,Extreme
15521,SOUTHERN,Thursday,11,17,283,Extreme
15879,SOUTHERN,Wednesday,2,15,283,Extreme
15736,SOUTHERN,Tuesday,8,16,283,Extreme
15566,SOUTHERN,Tuesday,1,14,282,Extreme
15284,SOUTHERN,Thursday,1,20,282,Extreme
14398,SOUTHERN,Friday,12,22,282,Extreme
14712,SOUTHERN,Saturday,2,0,281,Extreme
15279,SOUTHERN,Thursday,1,15,281,Extreme
15355,SOUTHERN,Thursday,4,19,281,Extreme
15998,SOUTHERN,Wednesday,7,14,281,Extreme
14748,SOUTHERN,Saturday,3,12,280,Extreme
14125,SOUTHERN,Friday,1,13,280,Extreme
15468,SOUTHERN,Thursday,9,12,280,Extreme
15060,SOUTHERN,Sunday,4,12,280,Extreme
14707,SOUTHERN,Saturday,1,19,280,Extreme
14412,SOUTHERN,Monday,1,12,280,Extreme
15956,SOUTHERN,Wednesday,5,20,280,Extreme
14491,SOUTHERN,Monday,4,19,280,Extreme
14367,SOUTHERN,Friday,11,15,280,Extreme
15112,SOUTHERN,Sunday,6,16,279,Extreme
14584,SOUTHERN,Monday,8,16,279,Extreme
14631,SOUTHERN,Monday,10,15,279,Extreme
15854,SOUTHERN,Wednesday,1,14,279,Extreme
15593,SOUTHERN,Tuesday,2,17,279,Extreme
14466,SOUTHERN,Monday,3,18,279,Extreme
14750,SOUTHERN,Saturday,3,14,279,Extreme
14557,SOUTHERN,Monday,7,13,279,Extreme
14872,SOUTHERN,Saturday,8,16,278,Extreme
15377,SOUTHERN,Thursday,5,17,278,Extreme
15637,SOUTHERN,Tuesday,4,13,278,Extreme
15999,SOUTHERN,Wednesday,7,15,278,Extreme
15378,SOUTHERN,Thursday,5,18,278,Extreme
15948,SOUTHERN,Wednesday,5,12,278,Extreme
14375,SOUTHERN,Friday,11,23,278,Extreme
14442,SOUTHERN,Monday,2,18,278,Extreme
16095,SOUTHERN,Wednesday,11,15,278,Extreme
15590,SOUTHERN,Tuesday,2,14,278,Extreme
15951,SOUTHERN,Wednesday,5,15,277,Extreme
15853,SOUTHERN,Wednesday,1,13,277,Extreme
14561,SOUTHERN,Monday,7,17,277,Extreme
15089,SOUTHERN,Sunday,5,17,277,Extreme
15905,SOUTHERN,Wednesday,3,17,277,Extreme
15851,SOUTHERN,Wednesday,1,11,277,Extreme
14870,SOUTHERN,Saturday,8,14,277,Extreme
14754,SOUTHERN,Saturday,3,18,277,Extreme
14461,SOUTHERN,Monday,3,13,277,Extreme
15349,SOUTHERN,Thursday,4,13,277,Extreme
15565,SOUTHERN,Tuesday,1,13,276,Extreme
16120,SOUTHERN,Wednesday,12,16,276,Extreme
14877,SOUTHERN,Saturday,8,21,276,Extreme
14868,SOUTHERN,Saturday,8,12,276,Extreme
6065,MISSION,Friday,1,17,276,Extreme
14181,SOUTHERN,Friday,3,21,276,Extreme
14703,SOUTHERN,Saturday,1,15,276,Extreme
14276,SOUTHERN,Friday,7,20,276,Extreme
14950,SOUTHERN,Saturday,11,22,275,Extreme
7795,MISSION,Wednesday,1,19,275,Extreme
15184,SOUTHERN,Sunday,9,16,275,Extreme
15691,SOUTHERN,Tuesday,6,19,275,Extreme
14923,SOUTHERN,Saturday,10,19,275,Extreme
15664,SOUTHERN,Tuesday,5,16,275,Extreme
15564,SOUTHERN,Tuesday,1,12,275,Extreme
15828,SOUTHERN,Tuesday,12,12,275,Extreme
14853,SOUTHERN,Saturday,7,21,275,Extreme
16099,SOUTHERN,Wednesday,11,19,274,Extreme
15204,SOUTHERN,Sunday,10,12,274,Extreme
16047,SOUTHERN,Wednesday,9,15,274,Extreme
16123,SOUTHERN,Wednesday,12,19,274,Extreme
15901,SOUTHERN,Wednesday,3,13,274,Extreme
8130,NORTHERN,Friday,3,18,273,Extreme
14148,SOUTHERN,Friday,2,12,273,Extreme
15476,SOUTHERN,Thursday,9,20,273,Extreme
14248,SOUTHERN,Friday,6,16,273,Extreme
14112,SOUTHERN,Friday,1,0,273,Extreme
15760,SOUTHERN,Tuesday,9,16,273,Extreme
15110,SOUTHERN,Sunday,6,14,273,Extreme
15619,SOUTHERN,Tuesday,3,19,273,Extreme
14244,SOUTHERN,Friday,6,12,273,Extreme
15686,SOUTHERN,Tuesday,6,14,273,Extreme
14612,SOUTHERN,Monday,9,20,273,Extreme
15735,SOUTHERN,Tuesday,8,15,272,Extreme
14755,SOUTHERN,Saturday,3,19,272,Extreme
16121,SOUTHERN,Wednesday,12,17,272,Extreme
15739,SOUTHERN,Tuesday,8,19,272,Extreme
15305,SOUTHERN,Thursday,2,17,272,Extreme
15834,SOUTHERN,Tuesday,12,18,271,Extreme
15280,SOUTHERN,Thursday,1,16,271,Extreme
15588,SOUTHERN,Tuesday,2,12,271,Extreme
14825,SOUTHERN,Saturday,6,17,271,Extreme
14656,SOUTHERN,Monday,11,16,271,Extreme
15088,SOUTHERN,Sunday,5,16,271,Extreme
15356,SOUTHERN,Thursday,4,20,271,Extreme
8082,NORTHERN,Friday,1,18,271,Extreme
15326,SOUTHERN,Thursday,3,14,271,Extreme
15754,SOUTHERN,Tuesday,9,10,271,Extreme
14343,SOUTHERN,Friday,10,15,271,Extreme
15756,SOUTHERN,Tuesday,9,12,271,Extreme
15877,SOUTHERN,Wednesday,2,13,271,Extreme
14680,SOUTHERN,Monday,12,16,270,Extreme
15926,SOUTHERN,Wednesday,4,14,270,Extreme
15661,SOUTHERN,Tuesday,5,13,270,Extreme
15927,SOUTHERN,Wednesday,4,15,270,Extreme
15447,SOUTHERN,Thursday,8,15,270,Extreme
14994,SOUTHERN,Sunday,1,18,270,Extreme
14875,SOUTHERN,Saturday,8,19,270,Extreme
15040,SOUTHERN,Sunday,3,16,270,Extreme
15859,SOUTHERN,Wednesday,1,19,270,Extreme
15855,SOUTHERN,Wednesday,1,15,270,Extreme
15307,SOUTHERN,Thursday,2,19,270,Extreme
15472,SOUTHERN,Thursday,9,16,269,Extreme
14318,SOUTHERN,Friday,9,14,269,Extreme
8132,NORTHERN,Friday,3,20,269,Extreme
14204,SOUTHERN,Friday,4,20,269,Extreme
14901,SOUTHERN,Saturday,9,21,269,Extreme
14538,SOUTHERN,Monday,6,18,269,Extreme
15240,SOUTHERN,Sunday,12,0,269,Extreme
15781,SOUTHERN,Tuesday,10,13,269,Extreme
15049,SOUTHERN,Sunday,4,1,269,Extreme
14136,SOUTHERN,Friday,2,0,269,Extreme
15182,SOUTHERN,Sunday,9,14,269,Extreme
14800,SOUTHERN,Saturday,5,16,268,Extreme
15264,SOUTHERN,Thursday,1,0,268,Extreme
14916,SOUTHERN,Saturday,10,12,268,Extreme
15400,SOUTHERN,Thursday,6,16,268,Extreme
16117,SOUTHERN,Wednesday,12,13,268,Extreme
14851,SOUTHERN,Saturday,7,19,268,Extreme
14844,SOUTHERN,Saturday,7,12,268,Extreme
15688,SOUTHERN,Tuesday,6,16,268,Extreme
14391,SOUTHERN,Friday,12,15,268,Extreme
14733,SOUTHERN,Saturday,2,21,268,Extreme
14489,SOUTHERN,Monday,4,17,268,Extreme
14269,SOUTHERN,Friday,7,13,268,Extreme
14464,SOUTHERN,Monday,3,16,268,Extreme
15898,SOUTHERN,Wednesday,3,10,268,Extreme
15809,SOUTHERN,Tuesday,11,17,268,Extreme
14300,SOUTHERN,Friday,8,20,268,Extreme
14730,SOUTHERN,Saturday,2,18,267,Extreme
14847,SOUTHERN,Saturday,7,15,267,Extreme
15132,SOUTHERN,Sunday,7,12,267,Extreme
14605,SOUTHERN,Monday,9,13,267,Extreme
15084,SOUTHERN,Sunday,5,12,267,Extreme
15833,SOUTHERN,Tuesday,12,17,267,Extreme
14988,SOUTHERN,Sunday,1,12,267,Extreme
14781,SOUTHERN,Saturday,4,21,267,Extreme
15180,SOUTHERN,Sunday,9,12,267,Extreme
15997,SOUTHERN,Wednesday,7,13,267,Extreme
7866,MISSION,Wednesday,4,18,266,Extreme
14515,SOUTHERN,Monday,5,19,266,Extreme
8663,NORTHERN,Saturday,1,23,266,Extreme
14174,SOUTHERN,Friday,3,14,266,Extreme
14945,SOUTHERN,Saturday,11,17,266,Extreme
15808,SOUTHERN,Tuesday,11,16,265,Extreme
15907,SOUTHERN,Wednesday,3,19,265,Extreme
14205,SOUTHERN,Friday,4,21,265,Extreme
7008,MISSION,Sunday,5,0,265,Extreme
6696,MISSION,Saturday,4,0,265,Extreme
15138,SOUTHERN,Sunday,7,18,265,Extreme
15643,SOUTHERN,Tuesday,4,19,265,Extreme
15025,SOUTHERN,Sunday,3,1,265,Extreme
16022,SOUTHERN,Wednesday,8,14,265,Extreme
14850,SOUTHERN,Saturday,7,18,265,Extreme
15111,SOUTHERN,Sunday,6,15,265,Extreme
15370,SOUTHERN,Thursday,5,10,265,Extreme
15168,SOUTHERN,Sunday,9,0,265,Extreme
15804,SOUTHERN,Tuesday,11,12,264,Extreme
14199,SOUTHERN,Friday,4,15,264,Extreme
14392,SOUTHERN,Friday,12,16,264,Extreme
14797,SOUTHERN,Saturday,5,13,264,Extreme
14880,SOUTHERN,Saturday,9,0,264,Extreme
